journalId;title;abstract;keywords
1;Mesenchymal Transformation: The Rosetta Stone of Glioblastoma Pathogenesis and Therapy Resistance; Despite decades of research, glioblastoma (GBM) remains invariably fatal among all forms of cancers. The high level of inter- and intratumoral heterogeneity along with its biological location, the brain, are major barriers against effective treatment. Molecular and single cell analysis identifies different molecular subtypes with varying prognosis, while multiple subtypes can reside in  the same tumor. Cellular plasticity among different subtypes in response to therapies or during recurrence adds another hurdle in the treatment of GBM. This  phenotypic shift is induced and sustained by activation of several pathways within the tumor itself, or microenvironmental factors. In this review, the dynamic nature of cellular shifts in GBM and how the tumor (immune) microenvironment shapes this process leading to therapeutic resistance, while highlighting emerging tools and approaches to study this dynamic double-edg d sword are discussed. Gliomas account for over 80% of all fatal central nervous system (CNS) malignancy[1] and are the leading cause of cancerrelated mortality among children[2] and adults aged below 34 years.[3] Based on histological properties, gliomas are classified into four classes (grades I–IV), in which grade IV, commonly referred to as glioblastoma (GBM), is the most malignant form with an overall mean survival rate of 12–17 months from diagnosis.[4-9] GBMs are highly heterogeneous in nature and tend to infiltrate surrounding areas making complete surgical resection (first line therapy) practically impossible.[10] The second line treatment for GBM, consisting of radiotherapy with concomitant temozolomide (TMZ) chemotherapy, also fails partly due to intrinsic and/or acquired radio and chemoresistance.[10] The histological features of glioma (necrosis, cellularity, vascular proliferation, and mitotic figures) do not reflect the treatment failure and poor clinical outcome.[11] Thus, researchers now are focusing on the molecular features of GBM rather than its histological properties. Large-scale genomic analysis has subgrouped GBM into four main classes, classical, pro-neural (PN), mesenchymal (MES), and neural, although later studies showed that the neural subtype is simply a contamination with nontumor cells.[12,13] Each of these subtypes showed a different degree of sensitivity to therapy, while prognosis corresponds to their molecular and genetic signature.[14] For example, tumors with MES feature tend to have worst prognosis compared to other subtypes (PN and classical).[14] In addition, over the course of the disease progression, GBMs can shift their subtypes from one to another[14] and it is believed that the pro-neural-to-mesenchymal transition (PMT) is most prominent.[15] Segerman et al. found that, upon radiation and chemotherapy, PN tumors shift to MES subtype ultimately leading to chemo and radioresistance.[16] This PMT is synonymous to epithelial-to-mesenchymal transition (EMT) in solid tumors of epithelial origin.[17] Because of the believed glial origin of GBM, this process is typically referred to as glial-mesenchymal transition, or simply mesenchymal transformation/transition/transdifferentiation, and more commonly PMT, since this transition is typically observed in the pro-neural subtype.[11,18] EMT and PMT share similar patterns of cellular properties, pathological features, and molecular marker changes. EMT occurs when tumor cells lose their epithelial characteristics (cell–cell adhesion and polarity) and possess a more aggressive mesenchymal characteristic.[19] Although EMT plays a crucial role in embryonic development and wound healing processes,[19] it was proved to be of significance to tumor cell migration, invasion, metastasis, and resistance to conventional radio and chemotherapy.[20] EMT is also crucial for the development and maintenance of cancer stem cell (CSC), a small niche of cells believed to be responsible for tumor initiation, recurrence, and resistance to conventional treatment.[20] In GBM, this cell subset is referred to as glioma stem cells (GSCs) with neural stem-like properties. External stimuli such as growth factors, cytokines, and hypoxic environment induce a vast array of signaling pathways and associated transcription factors (SNAI1, SLUG, ZEB, and TWIST) leading to EMT transition.[21] The same molecular events are also involved in mesenchymal transition in GBM leading to increased tumor aggressiveness and acquired drug resistance. In this context, understanding key players that drive mesenchymal transformation and their relationship with drug resistance and poor prognosis is critical to develop effective therapies against this aggressive disease. In this review, we will discuss recent advances and challenges in studying GBM mesenchymal transformation, while highlighting state-of-the-art tools to study these processes.;clinical outcome|glioblastoma (GBM)|mesenchymal transition|molecular subtypes|therapy responses|tumor microenvironment.
2;DGAT1 protects tumor from lipotoxicity, emerging as a promising metabolic target for cancer therapy ;We recently demonstrated that glioblastoma, the most lethal brain cancer, upregulates diacylglycerol O-acyltransferase 1 (DGAT1) to store excess fatty acids into triglycerides to prevent lipotoxicity and promote tumor growth. Targeting DGAT1 resulted in marked tumor cell death by triggering extensive oxidative stress, indicating that DGAT1 could be a promising target for cancer therapy. Over the past decade, cancer cell metabolism has been extensively investigated and significant progress has been made from understanding glucose metabolism to identifying amino acids, nucleotides, lipids, and redox regulation.1-3 Nevertheless, translation of these exciting biological findings into the clinic has been limited. The hurdles include identification of metabolic targets that are also required for normal cell growth, or the quick adaptation to the metabolic inhibition by tumor cells that activate alternative metabolic pathways. In order to find effective metabolic targets for cancer therapy, identifying those that are unique to cancer cells and essential for tumor growth is required. Recently, mounting evidence has shown that de novo fatty acid synthesis is greatly upregulated in various types of cancers, including breast, liver, colon and brain cancers, etc. 4,5 Many pharmaceutic companies have developed inhibitors that target the key enzymes regulating fatty acid synthesis, and some have already entered into Phase I/II clinical trials for cancer therapy.3 However, due to the activation of de novo fatty acid synthesis in many normal tissues and organs such as liver, it is highly conceivable that excessive toxicity could arise during the course of continuing treatment, resulting in adverse effects for patients. Therefore, there is a need to find better cancer therapy strategies to leverage the dependency of cancer cells on fatty acids. Fatty acids are essential lipids that constitute the major components of the cell membrane phospholipids and also serve as important energy resources. Moreover, fatty acids can function as signaling molecules or bind to proteins to regulate cellular function.3 Therefore, it is reasonable to speculate that cancer cells activate de novo synthesis pathways in order to provide sufficient amount of fatty acids for tumor growth. Our previous study revealed that cancer cells depend on the activation of sterol regulatory element-binding protein 1 (SREBP-1), the master transcriptional factor of the fatty acid synthesis pathway, to promote tumor growth.4,6,7 However, in normal cells, it is known that excess free fatty acids (FFA) can disrupt lipid homeostasis and cause lipotoxicity, leading to cell damage. How cancer cells can maintain lipid homeostasis while avoiding lipotoxicity upon synthesis of high levels of fatty acids is poorly understood. Answering this question may lead to identification of effective strategies to treat cancer by disrupting the unique pathway that maintains lipid homeostasis in tumor cells. Glioblastoma (GBM) is the most lethal brain tumor. Over the past two decades, the average survival time for GBM patients has remained about 12–15 months from diagnosis despite aggressive treatments. One of the main reasons for the failure to improve GBM therapy is our partial understanding of GBM biology. Our recent study published in Cell Metabolism8 demonstrated that GBM cells increase diacylglycerol O-acyltransferase-1 (DGAT1) expression to regulate fatty acid homeostasis, channeling excess FFA into triglycerides (TG) and lipid droplets (LDs) to prevent overactivation of fatty acid β-oxidation from inducing oxidative stress. We had previously shown that GBM tumors contain large amounts of LDs.9 Our current data showed that inhibition of DGAT1 blocks TG synthesis and LD formation, resulting in fatty acids overfeeding mitochondria and marked production of reactive oxygen species (ROS) that damage mitochondria and induce apoptosis to kill GBM cells. Moreover, inhibiting DGAT1 also significantly affected membrane structural lipids, increasing the flow from fatty acids to the major membrane lipids, phosphatidylcholine (PC) and phosphatidylethanolamine (PE), while reducing the flux toward phosphatidylserine (PS), phosphatidylinositol (PI), and phosphatidylglycerol (PG). Moreover, ceramide levels were also increased upon DGAT1 inhibition. Therefore, although it is clear that overactivation of fatty acid oxidation causing high levels of ROS and mitochondrial damage is sufficient to induce GBM cell apoptosis, we cannot rule out the contribution of membrane lipid dysregulation and endoplasmic reticulum (ER) stress to the induction of cell death by DGAT1 inhibition. Moreover, high levels of ROS can also cause lipid oxidation to trigger ferroptosis. Thus, dysregulated membrane lipids, ER stress, and lipid oxidation may strongly potentiate the toxic effects of oxidative stress upon DGAT1 inhibition to induce cancer cell death (Figure 1). In humans, the major sites for TG synthesis are the adipose tissues and liver, where this process is regulated by the DGAT1 and DGAT2 enzymes. In the current study,8 we showed that expression of DGAT1 is much higher than that of DGAT2 in GBM. In contrast, DGAT1 expression is very low in normal brain tissues, where TG and LDs are rarely formed. Thus, targeting DGAT1 is likely to specifically exert toxic effects in GBM tumor tissues, while sparing normal brain and other organs. Through the Cancer Genome Atlas (TCGA) database analysis, we found that the transcription level of DGAT1 gene is very high in most types of tumors, including ovarian, prostate, breast, liver, lung, head and neck, melanoma, pancreas, sarcoma, cervical, thymoma, thyroid, and renal cancer.8 Importantly, LDs have also been observed in multiple types of cancers.10 Thus, blocking TG synthesis via DGAT1 targeting may have high therapeutic potential for a broad range of cancers. In addition, we found that GBM cells are more sensitive to DGAT1 pharmacological inhibition under hypoxia than normoxia conditions, and DGAT1 inhibition also induced mitochondrial damage and elevated ROS under hypoxia (data not shown), further supporting DGAT1 is a promising target for cancer therapy as hypoxia frequently occurs in growing tumors.;DGAT1|glioblastoma|lipotoxicity|oxidative stress|triglycerides|cancer
3;Anti-PD-1 Immunotherapy in Preclinical GL261 Glioblastoma: Influence of Therapeutic Parameters and Non-Invasive Response Biomarker Assessment with MRSI-Based Approaches.; Glioblastomas (GBs) are malignant brain tumours with poor prognosis even after aggressive therapy. Programmed cell death-1 (PD-1) immune checkpoint blockade is  a promising strategy in many types of cancer, but its therapeutic effects in GB remain low and associated with immune infiltration. Previous work suggests that oscillations of magnetic resonance spectroscopic imaging (MRSI)-based response pattern with chemotherapy could act as a biomarker of efficient immune system attack onto GBs. The presence of such oscillations with other monotherapies such as anti-PD-1 would reinforce its monitoring potential. Here, we confirm that the  oscillatory behaviour of the response biomarker is also detected in mice treated with anti PD-1 immunotherapy both in combination with temozolomide and as monotherapy. This indicates that the spectral pattern changes observed during therapy response are shared by different therapeutic strategies, provided the host immune system is elicited and able to productively attack tumour cells. Moreover, the participation of the immune system in response is also supported by the rate of cured animals observed with different therapeutic strategies (in the range of 50-100% depending on the treatment), which also held long-term immune memory against tumour cells re-challenge. Taken together, our findings open the way for a translational use of the MRSI-based biomarker in patient-tailored GB therapy, including immunotherapy, for which reliable non-invasive biomakers are still missing. Glioblastoma (GB) is the most common primary malignant tumour of the central nervous system (CNS) in adults. Clinically, the 5-year survival rate of patients with GB is less than 9%, and the median survival time of them is only around 15 months despite the availability of multimodal therapies [1]. Standard therapy for GB is composed of surgical resection, radiotherapy and adjuvant chemotherapy with Temozolomide (TMZ), but this standard schedule does not prevent tumour recurrence, mostly due to the infiltrative growth pattern, and chemoresistance [2,3]. In recent years, an increasing number of studies indicated that immune escape has played an important role in tumour progression [4–6]. In other words, resistance to chemotherapy is not only related to the intrinsic properties of tumour cells but also to other parameters of the tumour microenvironment [7]. Tumours have evolved in multiple ways to evade the immune system by creating a strong immunosuppressive microenvironment, which protects tumour cells from the immune attack by exploiting inhibitory immune checkpoints such as the programmed cell death ligand-1 (PD-L1)/programmed cell death-1 (PD-1) axis, using check point inhibitors (CKI) [8]. Ultimately, the final phase of escape from immune surveillance allows tumour cells to thrive unchecked in an immunosuppressive tumour microenvironment. With the rapid development of immunotherapy, several anti PD-1 antibodies are being extensively used in clinics. These were approved in the treatment of melanoma, non-small cell lung cancer, renal cell cancer, Hodgkin’s lymphoma, and bladder cancer [9–12]. Moreover, anti-PD-1 immunotherapeutic approaches are currently undergoing clinical study for safety and efficacy in GB [13], with some success when used in a neoadjuvant approach [13,14]. Unfortunately, the combination therapy of anti-PD-1 and classical radiotherapy does not seem to provide benefit for progression free survival (PFS) in the interim report of the CheckMate-548 Phase 3 clinical trial [15]. This indicates that additional preclinical work may be needed to optimize CKI potential for GB treatment in patients. In this respect, preclinical studies revealed that anti-PD-1 monotherapy exhibits considerable potential for enhancing an anti-tumour immune response in the GL261 immune-competent mouse model [16–18]. However, the overall survival (OSs) of mice under anti-PD-1 monotherapy was quite variable among those studies, possibly due to their different dosing scheme and therapy starting days (i.e., small, large tumours). In this sense, we found it relevant to assess the impact of initial tumour volume and dosing schedule on the anti-PD-1 monotherapy efficacy. In addition, immune checkpoint inhibitors combined with the gold standard chemotherapy (TMZ) could represent another way to enhance treatment efficiency for GB. In preclinical studies, the combination of anti PD-1 antibody and localized radiation therapy has proved to prolong survival in a GL261 immune-competent mouse model [17]. Moreover, the combination therapy of anti-PD-1 antibody and chemotherapeutic drug (carmustine) greatly shrank tumour size and improved survival rate in the GL261 immune-competent mouse model [19]. Our previous work [20] found that PD-L1 content was significantly increased in late relapsing TMZ-treated tumours compared to vehicle-treated tumours, which reveals that the upregulated expression of PD-L1 on tumour cells could be a potential link between chemotherapy and tumour immune resistance. Therefore, we should expect an improved therapeutic potency when anti-PD-1 treatment is combined with TMZ in an immune-enhancing metronomic schedule (IMS) in GL261 immune-competent mice. Magnetic resonance imaging (MRI) plays a crucial role in GB detection, treatment planning, and therapy response assessment, evaluating tumour presence, size and characteristics in a non-invasive way [21]. MRI provides anatomical information and other data such as contrast enhancement or biophysical parameters (e.g., perfusion). On the other hand, magnetic resonance spectroscopy, or its multivolume variation, spectroscopic imaging (MRSI), provides additional information about millimolar concentrations of low molecular weight metabolites in the studied tissue [22–24], which can inform about its biochemical/molecular environment. Previous studies from our group suggest that the proper analysis of such metabolomic information could give hints about tumour response before changes are observed in tumour size [25,26]. Given TMZ administered in an IMS has produced an oscillatory pattern of response sampled by MRSI-based nosological images, and this oscillatory pattern of response has been proposed to behave as an immune system efficiency biomarker during GB therapy follow-up [20]. In this study, we checked the robustness of the biomarker under different therapeutic options, namely the presence of an oscillatory pattern of response to therapy in tumours treated with IMS-anti-PD-1 monotherapy and IMS-TMZ/anti-PD-1 combination therapy. In the present clinical landscape, patients with GB always relapse even after the best accepted therapeutic protocols are applied, including surgical resection. Accordingly, both response improvement and the generation of tumour-specific immunological memory would be crucial to improve prognosis. Thus, we tested how the different treatment modalities had an impact on tumour recurrence after curing mice and whether MRSI-based nosological images previously developed to monitor the response to TMZ treatment could also reflect tumour response to immunotherapeutic strategies, acting as a generic surrogate biomarker of therapy response.;TMZ|checkpoint inhibitors|glioblastoma|long-term immune memory|magnetic resonance spectroscopic imaging|orthotopic immunocompetent tumours|therapy response biomarker.
4;Recent Updates on the Relationship between Cancer and Autoimmune Pancreatitis;Autoimmune pancreatitis (AIP) is now considered a pancreatic manifestation of a newly proposed disease condition, IgG4-related disease (IgG4-RD). IgG4-RD is characterized by enhanced IgG4 antibody responses and multiple organ involvements. Recent epidemiological studies have addressed the incidence of cancer in patients with AIP and/or IgG4-RD. Surprisingly, a significant number of AIP patients were detected with cancer at or within one year of the diagnosis of AIP. Furthermore, around 50% of all cancers detected in AIP patients comprised mainly 3 types (gastric, lung, and prostate cancer). Thus, AIP appears to be associated with cancer of other organs rather than the pancreas itself, which suggests that AIP is not a pre-cancerous condition of the pancreas. Moreover, the simultaneous occurrence of cancer and AIP in many patients has led to the establishment of an attractive concept that AIP might sometimes arise from co-existing cancers as a paraneoplastic syndrome. Autoimmune pancreatitis (AIP) is a unique form of chronic pancreatitis in which autoimmunity against as-yetunidentified auto antigens (Ags) underlie the chronic fibroinflammatory responses in the pancreas (1). AIP is now classified into type 1 AIP and type 2 AIP based on clinical features, pathological findings, and IgG4 antibody (Ab) responses (2). It is generally accepted that type 1 AIP, also called lymphoplasmacytic sclerosing pancreatitis, is a pancreatic manifestation of the systemic IgG4- related disease (IgG4-RD). IgG4-RD is a newly established disease characterized by elevated serum levels of IgG4 Ab and multiple organ involvements (3, 4). Massive infiltration of IgG4-expressing plasmacytes into the affected organs, accompanied by storiform fibrosis, is a prominent pathological feature of type 1 AIP (3-5). Gastroenterologists and clinical immunologists have established the diagnostic criteria based on a substantial expansion of awareness and recognition of IgG4-RD by physicians (3-5). A wide variety of single-organ diseases, such as AIP, sialoadenitis, and retroperitoneal fibrosis, are now regarded as organ-specific manifestations of this systemic autoimmune disorder (3-5). As the number of patients with IgG4-RD and type 1 AIP increases, gastroenterologists and clinical immunologists promote further their investigations of type 1 AIP, and our knowledge regarding the clinicopathological findings is rapidly expanding. At present, however, our knowledge of the clinicopathological findings of type 2 AIP, also called idiopathic duct centric chronic pancreatitis, is limited. Infiltration of neutrophils, but not IgG4-expressing plasmacytes, is a pathological hallmark of type 2 AIP (5, 6). In addition, the co-occurrence of inflammatory bowel diseases is sometimes seen in patients with type 2 AIP. These differences in clinicopathological features between type 1 and type 2 AIP support the idea that two different types of immune responses are involved in the development of AIP, although both diseases are sensitive to corticosteroid treatment. Chronic inflammatory responses play an indispensable role in the development of inflammation-associated cancer, including Helicobacter pylori (H. pylori)-associated gastric cancer, hepatitis virus-associated hepatocellular carcinoma, and colitis-associated colon cancer (7). The high risk of pancreatic cancer in patients with chronic pancreatitis (CP) suggests the involvement of chronic inflammatory responses. (8, 9). Given that AIP is a unique form of chronic fibroinflammatory disorder of the pancreas, it is possible that AIP is a pre-cancerous condition. Indeed, recent studies have addressed the relationship between AIP and malignant diseases (10-14). Interestingly, it has been suggested that the presence of AIP is associated with cancers of other organs rather than the pancreas. In this review, we discuss the risk of cancer in type 1 AIP and IgG4-RD. ;IgG4-related disease|autoimmune pancreatitis|cancer.
5;Cancer and cure: A critical analysis;"Cancer is one of the most dreaded diseases of the 20th century and spreading further with continuance and increasing incidence in the 21st century. The situation is so alarming that every fourth person is having a lifetime risk of cancer. India registers more than 11 lakh new cases of cancer every year, whereas, this figure is above 14 million worldwide. Is cancer curable? The short answer to this question is ""Yes."" In fact, all cancers are curable if they are caught early enough. Cancer cells continue to grow unless one of four things occur: (1) The cancerous mass is removed surgically, (2) using chemotherapy or another type of cancer-specific medication, such as hormonal therapy, (3) using radiation therapy, or (4) the cancer cells shrink and disappear on their own. A hundred years ago, cancer was not so common; however, since the last couple of decades, its incidence has been rising alarmingly, probably due to our changing lifestyle, habits, and increased life expectancy. Cancer is one of the most dreaded diseases of the 20th century and spreading further with continuance and increasing incidence in the 21st century. The situation is so alarming that every fourth person is having a lifetime risk of cancer.[1] India registers more than 11 lakh new cases of cancer every year, whereas, this figure is above 14 million worldwide. We are constantly exposed to a variety of cancer causing agents, known as carcinogens. What is cancer? Put simply; cancer is the abnormal growth of cells. Cancers arise from any organ or body structure and are composed of tiny cells that have lost the ability to stop growing. Occasionally, cancer may be detected “incidentally” by a laboratory test or radiological routine test or for an entirely different reason. In general, cancer must reach a size of 1 cm, or be comprised of 1 million cells, before it is detected. At this point, it may be referred to as a “'mass,” a “growth,” a “tumor,” a “nodule,” a “lump,” or a “lesion.” Exceptions to this general rule include cancers of the blood and bone marrow (leukemia's and lymphomas) – which frequently do not produce a “mass,” but will be evident on laboratory tests. Transformation of a normal cell into a cancerous cell is probably not such a critical event in the genesis of cancer; rather it is the inability of immune cells of the body to identify and destroy the newly formed cancer cells when they are a few in numbers.[2] The risk of cancer is multiplied in those persons, whose immune system is suppressed due to any factor including chronic stress, old age, chronic debilitating disease, previous use of chemotherapy, and abuse of drugs such as analgesics, antibiotics, and corticosteroids.";cancer|cure.
6;Tumor microenvironment: recent advances in various cancer treatments;This is a review regarding different types of cancer treatments. We aimed at analyzing the tumor microenvironment and the recent trends for the therapeutic applications and effectiveness for several kinds of cancers. Traditionally the cancer treatment was based on the neoplastic cells. Methods such as surgery, radiation, chemotherapy, and immunotherapy, which were targeted on the highly proliferating mutated tumor cells, have been investigated. The tumor microenvironment describes the non-cancerous cells in the tumor and has enabled to investigate the behavior and response of the cancer cells to a treatment process it consists in a tissue that may have a predictive significance for tumor behavior and response to therapy. These include fibroblasts, immune cells and cells that comprise the blood vessels. It also includes the proteins produced by all of the cells present in the tumor that support the growth of the cancer cells. By monitoring changes in the tumor microenvironment using its molecular and cellular profiles as the tumor progresses will be vital for identifying cell or protein targets for the cancer prevention and its therapeutic purposes.;tumor|cancer.
7;Cancer-associated fibroblasts in tumor microenvironment - Accomplices in tumor malignancy;There is much cellular heterogeneity in the tumor microenvironment. The tumor epithelia and stromal cells co-evolve, and this reciprocal relationship dictates almost every step of cancer development and progression. Despite this, many anticancer therapies are designed around druggable features of tumor epithelia, ignoring the supportive role of stromal cells. Cancer-associated fibroblasts (CAFs) are the dominant cell type within the reactive stroma of many tumor types. Numerous previous studies have highlighted a pro-tumorigenic role for CAFs via secretion of various growth factors, cytokines, chemokines, and the degradation of extracellular matrix. Recent works showed that CAFs secrete H2O2 to effect stromal-mediated field cancerization, transform primary epithelial cells, and aggravate cancer cell aggressiveness, in addition to inflammatory and mitogenic factors. Molecular characterization of CAFs also underscores the importance of Notch and specific nuclear receptor signaling in the activation of CAFs. This review consolidates recent findings of CAFs and highlights areas for future investigations.;Cancer-associated fibroblasts|Field cancerization|Metastasis|Somatic Mutation Theory|Tissue Organization Field Theory|Tumor microenvironment
8;Measuring cancer evolution from the genome;The temporal dynamics of cancer evolution remain elusive, because it is impractical to longitudinally observe cancers unperturbed by treatment. Consequently, our knowledge of how cancers grow largely derives from inferences made from a single point in time - the endpoint in the cancer's evolution, when it is removed from the body and studied in the laboratory. Fortuitously however, the cancer genome, by virtue of ongoing mutations that uniquely mark clonal lineages within the tumour, provides a rich, yet surreptitious, record of cancer development. In this review, we describe how a cancer's genome can be analysed to reveal the temporal history of mutation and selection, and discuss why both selective and neutral evolution feature prominently in carcinogenesis. We argue that selection in cancer can only be properly studied once we have some understanding of what the absence of selection looks like. We review the data describing punctuated evolution in cancer, and reason that punctuated phenotype evolution is consistent with both gradual and punctuated genome evolution. We conclude that, to map and predict evolutionary trajectories during carcinogenesis, it is critical to better understand the relationship between genotype change and phenotype change.;clonal evolution of cancer| gradualism| hopeful monsters| intratumour heterogeneity| neutral evolution| next-generation sequencing| punctuated equilibrium| saltation| selection| subclones.
9;Clinical, Prognostic and Therapeutic Significance of Heat Shock Proteins in Cancer;Background: Heat Shock Proteins (HSPs) constitute a group of proteins that play a crucial role in the process of protein folding. HSPs are also known to modulate a number of key apoptotic factors. High expression of these proteins is reported in an array of cancers, such as breast, prostate, colorectal, lung, ovarian, gastric, oral and esophageal cancer. Ample amount of investigations were carried out on a variety of cancers suggesting HSPs as a promising hallmark in cancers. Their expression profile in several tumors elucidates that they help in proliferation, invasion, metastasis and death of cancerous cells. Detection of the levels of heat shock proteins and their specific antibodies in the sera of diseased individuals can play an important role in cancer diagnosis. Objectives: This review will present and summarize latest research being carried out on heat shock proteins. It will also highlight the clinical and prognostic features of HSP27, HSP60, HSP70, HSP90 and HSP110, and will discuss future implications of HSPs in the diagnosis and prognosis of cancer. Furthermore, the role of heat shock proteins as a therapeutic target in cancer will be discussed. In addition, the review article will report various studies, where HSPs have been targeted for their therapeutic potential. Conclusion: In summary, multiple experimental investigations have been successful in suggesting the role of heat shock protein as a clinical biomarker and therapeutic target in cancer. HSPs are associated with a number of cancer hallmarks such as cell proliferation, invasion and metastasis. Inhibition of HSPs has resulted in successful therapeutic outcome in cancer. It has served as a novel anti-cancer therapy for the treatment of several cancer forms. However, more experimental studies are required to elucidate the reliability and efficacy of heat shock proteins in combination with other conventional markers for cancer diagnosis and prognosis. Novel and effective interventions through HSP inhibition are expected to decrease the burden of cancer in the near future.;Heat shock proteins| apoptotic| cancer| cell proliferation| prognosis| therapeutics.
10;What Is Cancer?;This essay focuses on themes in Explaining Cancer: Finding Order in Disorder (2018) by Anya Plutynski, a monograph that has important things to say about both the peculiarities of cancers and our theories about them. Cancer's agents of destruction are human cells that have been recruited and to some extent transformed into pathological organisms or the building blocks of tumors. Cancers both undermine and exploit mechanisms of multicellular organization, and understanding them gives rise to difficult philosophical problems. In addition to sketching Plutynski's discussion of these problems, this essay defends Christopher Boorse's account of disease from Plutynski's criticisms, and it expresses some qualms about her treatment of scientific explanation.;cancer.
